"A acocote nuevo, tlachiquero viejo."
Entre dos cocineras sale aguado el mole.
"Entre dos, no pesa un tercio."
Entre el amor y el dinero; la mitad y la mitad.
"Entre estas y las otras, ya la miada se secó."
Entre gitanos no se lee la buenaventura.
Entre hermanos no metas las manos.
"Entre la cruz y el hacha, nos dejaron sin hilacha."
Entre la mujer y el gato ni a cual ir de mas ingrato.
"Entre más alto se trepa, más fuerte es la caída."
"Entre más estrecha la mente, más grande la boca."
"Entre más uno se empina, más las nalgas se le ven."
"Entre más viejo, más pendejo."
Entre menos burros mas olotes.
Entre muchos meneadores se quema la miel.
"Entre mula y mula, nomás patadas se oyen."
Entre perros y gatos lamen todos los platos.
Entre puntada y puntada cabe una vieja sentada.
"Entre putas y cabrones, no hay fijones."
Entre que son peras o son manzanas.
Entre risa y broma se dicen verdades de arroba.
"Entre santa y santo, pared de calicanto."
Entre sastres no se cobran las puntadas.
"Entre tanto, llévate este canto."
Entre todos lo mataron y el solito se murió.
"Entre tu arte y mi arte, prefiero miarte."
"Entre varios, pesa menos el muerto."
Envidia; ni tenerla ni temerla.
Éramos muchos y parió la abuela.
Eran tiempos de amarrar los perros con longaniza.
"Eres como los frijoles, que al primer hervor se arrugan."
Eres dueña de lo que callas y esclava de lo que hablas.
"Eres pobre porque quieres, mi reina."
Errar humano es.
"Error de muchos, por verdad pasa en el mundo."
"Es agradable ser importante, pero es más importante ser agradable."
"Es amargo el trago, pero hay que darlo."
Es amigo mío el que me socorre y no el que me compadece.
Es bonito presumir con sombrero ajeno.
"Es buena la libertad, pero no cagar el gorro."
"Es bueno comer, pero no patear el pesebre."
"Es bueno el encaje, pero no tan ancho."
"Es bueno hacerse tupé, pero no pelarse tanto."
"Es bueno quitar la caspa, pero no arrancar los pelos."
Es bueno rasguñar pero no clavar las uñas.
"Es bueno raspar, pero no arrancar los magueyes."
"Es bueno ser algo feo, pero no tan cacarizo."
Es burro que no rebuzna porque olvido la tonada.
"Es caballero, no el que tiene caballo sino el que tiene dinero."
Es cabra que no da leche.
"Es como alcaraván sesudo, que para otros tiene consejo..."
"... y para sí, ninguno."
Es como bota la pelota.
Es como buscar una aguja en un pajar.
"Es como caldo de zorra, que está frío y quema."
"Es como el atole que tarda mucho en calentarse,..."
...pero también mucho en enfriarse.
"Es como el sarampión, le gustan los inocentes."
Es como la carabina de Ambrosio.
Es como pedirle peras al olmo.
Es cuenta de otro rosario.
Es de sabios cambiar de opinión.
Es demasiado tarde para inclinarse cuando ha caído la cabeza.
Es el mismo indio con otro poncho.
Es en vano batallar cuando el amor no empareja.
"Es la ley de Caifás, al fregado, fregarlo más."
Es la misma gata nomás que revolcada.
Es la misma jeringa nomás con distinto palo.
Es lo mismo a pie que andando.
Es lo mismo atrás que en ancas.
Es más duro que la piedra de machucar muertos.
Es más duro resbalar por la lengua que por el empedrado.
Es más fácil amansar que quitar mañas.
Es más fácil quedarse con un libro que con su contenido.
Es más pendejo que el burro que tumbó a la Virgen.
Es mejor algo que nada.
Es mejor oler a unto que a difunto.
Es mejor Tianguistengo que tianguistuve.
Es mejor un mal arreglo que un buen pleito.
Es mejor ver los toros desde la barrera.
Es mucha jaula para un pobre pajarito.
Es mucho jamón para un pinche par de huevos.
Es muy poco el amor para desperdiciarlo en celos.
Es por demás batallar cuando el amor no empareja.
Es tan corriente que da toques.
Es tan difícil que no vale la pena.
Es tan fácil como encuerar a una borracha.
Es tan fácil como quitarle un dulce a un niño.
Es tan falso como un billete de a dos pesos.
"Es tonto quien presta un libro, pero más quien lo regresa."
Es tu dote o es tu azote.
"Es una locura amar, a menos que se ame con locura."
Escoba nueva barre bien.
Ese culo me conoce y por eso me saluda.
Ese no anda en cuatro patas porque los burros se enojan.
Ese se come los bagres y se le atoran los juiles.
Eso de trillar con burros es solo ensuciar la parva.
Eso dice por vender quien tiene buen mostrador.
Eso es comprar una vela para buscar un centavo.
Eso no me quita el sueño ni las ganas de comer.
"Está como santa Elena, que de vieja se puso buena."
Esta vida es un camote y el que no lo come es ráiz.
Esta vida es un camote y el que no lo traga se'oga.
"Esta vida es un fandango y el que no lo baila, un tonto."
Estamos como estamos porque somos como somos.
"Están verdes, dijo la zorra."
"Estando bien con mi Dios, los santos salen sobrando."
Estando el guardián contento aunque los legos respinguen.
Estás mirando la procesión y no te hincas.
Estase el viejo muriendo y cada día está aprendiendo.
Estátelo tú en tu casa y no te lo mal emplees.
Este puente se hizo en Lagos y se pasa por arriba.
"Esther, Concha la charra y Chinta la de Ocotlán."
Estos pelos no hacen monstruo.
Estos son méritos y no los de Porfirio Díaz.
Estrenar es bonito aunque sea huaraches.
"Estudiando lo pasado, se aprende lo nuevo."
"Estudiante perdulario, sacristán o boticario."
"Explicación no pedida, culpa manifiesta."
"Fachadas tienen muchos, pero cuidado con los chichos."
"Fácil es decir, en hacer está el quid."
"Fácil es decir, lo difícil es hacer."
Faena hecha no mete prisa.
Faldas largas; algo ocultan.
Fallecer y no morir; a muchos les suele ocurrir.
Falso suele ser; quien mucho besa tus pies.
Faltan ojos para ver las bellezas que hace Dios.
Faltarle lo que a los pantalones de Don Justo;...
...las dos piernas y el bordadito a su gusto.
"Fanfarrias suele tener, quien menos puede hacer."
Fango que se remueve; peor huele.
Fantasía tras fantasía y la barriga vacía.
Fantasmas y fantoches a troche y moche.
Farol de la calle y oscuridad de su casa.
Favor con favor se paga.
"Favor publicado, favor deshonrado."
Favor que se hace a muchos no lo agradece ninguno.
Favorecer a un bellaco es echar agua en un saco.
Favorecer a un ingrato es como dar a guardar una morcilla a un gato.
"Favores en cara echados, ya están pagados."
Favores harás y de muchos te arrepentirás.
"Favores; quien menos los merece, menos los agradece."
"Fe en Dios, porque en hombres; no."
"Fe sin obras, está de sobra."
Fealdad no es castidad.
Febrero loco y marzo otro poco.
"Febrero y las mujeres, por día diez pareceres."
Febrero: cordero. Febrero: veletero.
"Federal, sardo o guacho, ni compracho."
Feria de locos es el mundo todo.
"Feria sin novedad, ni parece feria."
"Fía solo en dos, en ti y en Dios."
"Fiador pagador, tarugo mayor."
"¿Fiaste?, la erraste."
Fiebres otoñales o muy largas o mortales.
"Fiesta pasada, fiesta olvidada."
Fiesta sin comida no es fiesta cumplida.
Finge pobreza y verás al amigo que te reza.
Fíngete en pobreza y sabrás cuantos amigos tienes.
Firmar sin leer solo un necio lo puede hacer.
"Flaco que no es de hambre, fuerte como un alambre."
"Flor de olivera en abril, es aceite pa'l candil."
"Flor que ayer a gloria olía, olerá a demonios al tercer día."
"Flor sin olor, le falta lo mejor."
"Flores y frutos, nunca los verás juntos."
"Fondo salido, buscando marido."
Fregar con jabón es bueno pero no con estropajo.
"Freidle un huevo, que dos merece."
Freno y espuela es buena escuela.
Frío es el amigo y caliente el enemigo.
"Frío o caliente, pero a sus horas."
"Fruta prohibida, más apetecida."
Fuego hace cocina que no moza garrida.
"Fuego que no me caliente, con mi leña no se alimente."
Fuego y estopa en el amor es cosa loca.
Fuera de su convento no está el fraile en su elemento.
"Fuerte es el amor de viuda, pero pronto pasa."
Fuma y bebe mucho y tirarás tu último cartucho.
Fúnebre como entierro de pobre.
Fusílenlos y después virigüen.
Galgo que duerme no pilla liebre.
Gallina cacaraquienta es la que se toma en cuenta.
"Gallina que da en comer huevos, aunque le quemen el pico."
Gallina vieja hace buen caldo.
"Gallinas que duermen alto, con echarles maíz se apean."
"Gallo que no canta, algo tiene en la garganta."
"Gallo, caballo y mujer, por la raza has de escoger."
"Ganar uno y gastar dos, no tiene perdón de Dios."
Ganarás el pan con el sudor de tu frente.
Ganas tiene el aceite de chirriar ese tocino.
Ganas tiene el panteonero de que la epidemia cunda.
Ganas tienes y con ellas te entretienes.
"Garañón que no relincha, que lo capen."
"Gato encogido, salto seguro."
Gato escaldado huye del agua fría. (salta primero)
"Gato maullador, buen cazador."
"Gato que no caza, ¿Qué pinta en casa?."
"Gavilán viejo no chilla, nomás se arruga y encoge el ala."
"Genio y figura, hasta la sepultura."
Gimiendo y llorando como en la salve.
"Golpe dado, ni Dios lo quita."
"Gorgojo más chico que un piojo, así de chiquito, no produce enojo."
Gota a gota el mar se agota.
"Goza de tu abril y mayo, que tu agosto llegará."
Grandotas aunque me peguen.
Grano a grano hincha la gallina el buche.
Grano de oro cree el mayate que son sus hijos.
"Guarda que dices, que las paredes oyen."
"Guarda su vida, quien tiene cuidado de su salud."
Guárdate del hombre que no habla y del perro que no ladra.
"Guerra, caza y amores, por un placer mil dolores."
"Ha chispiado, pero no ha llovido."
"Habla poco, di verdades y dirás pocas necedades."
Hablando mal de la grosella y comiendo de ella.
Hablando se entiende la gente.
Hablar de la mar y en ella no entrar.
Hablar sin pensar es tirar sin encarar.
"Habrá quien te dé, pero no quien te ruegue."
Hace la misma falta que los perros en misa.
Hacer caso de tarugos es engrandecerlos.
Hacer lo que las viejas en los bailes;...
"... ocupar sillas, vaciar copas y hablar como tarabilla."
Hacer lo que las viudas; tarugada y media.
Hacer un favor a un ingrato es tanto como ofenderlo.
Hacerse de delito es de pendejos.
"Hache, guarache, guache, ay víboras chirrioneras,"
"a que no me pican ora, que traigo mis chaparreras."
Háganme el favor de un real que ya la mujer me acaba.
Hágase la voluntad de Dios; pero en las mulas de mi compadre.
Hágase Señor tu voluntad; ya que no puedo hacer la mía.
Hartas riquezas tiene quien menos quiere.
"Harto ayuna, quien mal come."
Harto es hermosa la que es virtuosa.
Hasta al mejor cocinero se le queman los frijoles.
Hasta arrancar un ajo cuesta trabajo.
Hasta como olán con picos y hasta como l'an pasado.
Hasta de una piedra necesita uno para darse un hocicazo.
"Hasta el fin, nadie es dichoso."
Hasta el pelo más delgado hace su sombra en el suelo.
Hasta el santo desconfía cuando la limosna es grande.
Hasta en la casa de Dios fue servido.
"Hasta la risa te pago, cuantimás unos eructos."
"Hasta las campanas tiemblan, cuando dan."
Hasta lo que no comes te hace daño.
Hasta los de guarache zapatean.
Hasta los gatos quieren zapatos y los ratones calzones.
Hasta que hubo un huarache viejo que me viniera a taconear.
Hasta que no muere el arriero no se sabe de quien es la recua.
Hasta que San Jerónimo toque la trompeta.
Hasta pa'pedir limosna hace falta capital; pa'comprar el morral.
Hasta pa'pedir limosna se necesita un morral.
Hasta una piedra sirve para darse un hocicazo.
Hay casas que ni jumean y por dentro están que arden.
Hay madera p'hacer santos y otra p'hacerla carbón.
Hay más refranes que panes.
Hay más tiempo que vida.
Hay momentos en la vida de los hombres....
Hay moros en la cuesta y gatos en la azotea.
Hay muchos que solo saben lo que otra gente dice.
Hay muchos quebrados que valen más que un entero.
Hay muertos que no hacen ruido y es mas grande su penar.
Hay mulas que viajan solas porque el arriero es un burro.
"Hay palomas que alto vuelan, pero con maicito bajan."
Hay pícaros con fortuna y hombres de bien con desgracia.
"Hay plumajes que cruzan el pantano y no se manchan,..."
... ¡Mi plumaje es de esos!.
Hay pobres por su gusto y pobres por necesidad.
Hay que aprender a perder antes de saber jugar.
Hay que estar cerca del que paga y lejos del que manda.
Hay que estirar los pies hasta donde tape la cobija.
"Hay que hacer lo que deja: lo que no deja, dejarlo."
"Hay que saber perder, pero también hay que saber ganar."
"Hay que ser franco, pero no tanto."
"Hay qu'estar en la parada cuando pasa el camión,..."
...pero es más importante traer cambio.
Hay quien cree que ha madrugado y sale al oscurecer.
Hay quien mucho cacarea y no ha puesto nunca un huevo.
"Hay quien por buscar un céntimo, gasta diez en luz."
Hay quien solo sabe leer en su libro.
"Hay quienes entran a la escuela, pero la escuela no entra en ellos."
Hay quienes nacen con estrella y hay quienes nacen estrellados.
Hay quienes prefieren las nuevas tendencias;...
... yo me quedo con las viejas corrientes.
"Hay qu'ir al cerro, porque éste no viene a uno."
"Hay siete cosas que ignoro, por más que pienso y medito:"
"¿Porqué vale tanto el oro?, ¿Porqué se vive poquito?,..."
"... ¿Porqué hay en la cuna llanto?, ¿Porqué pobreza es desdoro?,..."
"... ¿Porqué cansan los deberes?, ¿Porqué aburren los placeres?,..."
"... ¿Porqué, pero porqué me gustan tanto las mujeres?."
Hay tantos árboles que no dejan ver el bosque.
Hay tiempos de acometer y tiempos de retirar;...
... tiempos de gastar un peso y otros de gastar un real.
Hay tiempos de dar limosna y tiempos de pedir socorro.
Hay tiempos de echar cuetes y otros de recoger varas.
"Hay tres tipos de mentiras: Buenas, malas y las estadísticas."
Hay unos que están por poco y otros que por poco están.
Hay veces que el pato nada y hay veces que ni agua toma.
Hay veces que un ocotito provoca una quemazón.
Hay viejos que son como la cebolla; La cabeza blanca y el rabo verde.
"Haz cien favores y deja de hacer uno, como si no hicieras ninguno."
Haz el bien y no mires a quien.
Haz el mal sin mirar a cuál.
"Haz patria, mata un chilango."
Haz una buena harina y no toques la bocina.
"He comido la retama, he comido la verbena, ..."
"... no hay bocado más amargo, que el bocado en casa ajena."
He frito mi longaniza en mejores tepalcates.
"He visto caer palacios, cuantimás este jacal."
"Hechos crean derechos, y los derechos requieren obligaciones."
Hechos son amores y no buenas razones.
"Hermana saltada, hermana quedada."
"Hijo de gata, ratones caza."
"Hijo de maguey, mecuate."
"Hijo de mi hija mi nieto será, hijo de mi hijo solo Dios sabrá."
"Hijo de sapo, sapito."
Hijo de viuda o mal criado o mal acostumbrado.
"Hijo eres, padre serás; cual hicieres, tal habrás."
"Hijo sin dolor, madre sin amor."
"Hijos crecidos, trabajos llovidos, hijos casados, trabajos doblados."
Hijos y maridos por sus obras son queridos.
"Holgad gallinas, que el gallo está en vendimia."
Holganza no llena panza.
"Hombre bueno tira a pendejo, mujer coqueta tira a puta."
Hombre celoso o es cornudo o quiere serlo.
"Hombre dormido, culo perdido."
"Hombre envuelto o cobijado, o es muy flojo o trae algo robado."
"Hombre jugador y caballo corredor, pierden muy pronto el honor."
Hombre harto no es comedor.
"Hombre pobre, todo es trazas."
"¡Hombre!, por lo que dijo la partera."
Hombre precavido vale por dos. (Hombre prevenido...)
"Hombre refranero, hombre de poco dinero."
"Hombre refranero, medido y certero."
Honra la cabeza cana y honrado serás mañana.
"Honrado, porque nunca ha parido."
"Hoy por ti, mañana por mí."
"Huésped que a sí se convida, no se harta con poca comida."
Huésped que se convida ligero es de hartar.
Huir del señor de los trabajos y encontrarse con el de las necesidades.
"Humano, humo vano."
"Humo y ladrido de perro, poblado cercano."
"Humo, gotera y mujer vocinglera, echan al marido fuera."
"Huye siempre de puerta abierta, perro gusgo y mujer deshonesta."
Huyendo del Señor de los trabajos...
... y hallando al Señor de las necesidades.
Huyes de la mortaja y te abrazas al difunto.
Iba en su yegua y preguntaba por ella.
Idas y venidas suman muchas horas perdidas.
"¿Ido el conejo, me das el consejo?."
"Ignorante y burro, todo es uno."
Ilusión es para el calvo tener en su calva algo.
Ilusiones de hombre pobre son pedos de burra vieja.
Importa más el cuero que la zalea.
Incapaz de matar una mosca.
"Indio con puro, ateo seguro."
"Indio con puro, ladrón seguro."
"Indio, pájaro y conejo, en tu casa, ni aun de viejo."
"Indio que mucho te ofrece, indio que nada merece."
"Indio que quiere ser criollo, al hoyo."
Indio que suspira no llega bien a su tierra.
Indio que va a la ciudad vuelve criolla su heredad.
"Indios y burros, todos son unos."
Infeliz el perro que de la cola se deja agarrar.
"Injurias olvidadas, injurias remediadas."
Inocencia sin conciencia no es decencia.
"Inocente palomita que te dejaste engañar, ..."
"... sabiendo que en este día, nada se debe prestar."
"Ingeniero que no bebe, malacate que no jala."
"Insinuación de rey, como si fuera ley."
Interesa a veces que tres y tres sean siete.
"Inútil solicitar servicio, solo tramitamos entierros. I.S.S.S.T.E."
Ir a matar lobos no es para bobos.
"Ir y volver, no todas lo pueden hacer."
"Ira de hermanos, ira de diablos."
"Ira de mujer, ira de Lucifer."
Irremediablemente confundido; la gente de antes era...
".. más honrada que la de ahora; yo soy de antes, pero vivo ahora."
Jala más un pelo de mujer que una yunta de bueyes.
Jalan más dos chiches que una yunta de bueyes.
Jalan más dos tetas que una carreta.
Jalan más un par de tetas que cien carretas.
Jalisco nunca pierde y cuando pierde arrebata.
"Jamás cerró una puerta Dios, sin que abriera dos."
"Jarabe de pico, a alguno ha hecho rico."
"¿Jarrito nuevo donde te pondré?, ¿Jarrito viejo, donde te arrumbaré?."
"Jarrito pintado, pronto quebrado."
"Jesucristo curó ciegos y leprosos, pero no pendejos."
"Joven madrugador, viejo trasnochador."
"Juan Gómez, tu te lo tienes, tu te lo comes."
"Juan Palomo, yo me lo guiso, yo me lo como."
Judío para la mercancía y fraile para la hipocresía.
Juego de manos es de villanos.
"Juego que tiene desquite, ni quien se pique."
"Juegos, pendencias y amores, igualan a los hombres."
Juez de malas artes el que no escucha ambas partes.
"Juez que dudando condena, merece pena."
Jugador perdedor se mete a mirón.
"Jugar, fumar y beber, no es cosa de jovencita ni de mujer."
"Jugar y nunca perder, ¡No puede ser!."
Jugaron como nunca y perdieron como siempre.
Jugué con quién no sabía y me ganó cuanto tenía.
"Jugo de naranja; en la mañana es oro, en la tarde, ..."
"... plata y en la noche, mata."
"Junta de lobos, muerte de ovejas."
"Juntando los bienes y los males, todos los tiempos son iguales."
"Juntar el oro y el lodo, es hacerlo lodo todo."
Juntarse el hambre con las ganas de comer.
Júntate con los malos y serás uno más.
Junto al buey viejo aprende a arar el nuevo.
"Junto al santo que no suda, el sacristán estornuda."
Juntos van el mucho prometer y el poco dar.
"Juramentos de mujer, difícil son de creer."
"Juran del alma ternura, pero es pura calentura."
"Justificación no pedida, acusación manifiesta."
"Juzga poco, pregunta mucho y serás un hombre ducho."
"Juzgan todos los enamorados que los otros, tienen los ojos vendados."
La ambición del dinero hace al hombre pecador.
La ambición nunca se llena.
La ambición rompe el calzón.
La ambición rompe el saco.
La avaricia rompe el saco.
La beben de a quinto y la platican de a diez.
La belleza es pasajera pero la fealdad es eterna.
La belleza es superficial; pero la fealdad cala hasta los huesos.
La bolsa del pobre con poco se llena.
La botica abierta y el boticario en la puerta.
"La buena cena, temprano aparece."
La buena cocina es como el amor; necesita tacto y variedad.
"La buena o la mala fama, no necesitan pregones."
"La buena vida es cara. También la hay más barata,..."
... pero esa ya no es vida.
La burra no era arisca; los palos la hicieron.
La cabra tira al monte.
La cabra tira al monte y el capón al muladar.
La calma que presagia tormenta.
La campana no suena si el badajo no la golpea.
"La cana engaña, el diente miente, la arruga saca de dudas."
"La cana engaña, la arruga deja la duda, pero el arrastrar de pies..."
"... y el pelo en la oreja, dicen que la gente es vieja."
La caridad bien ordenada empieza por uno mismo.
La carga hace andar al burro.
La carne de gata es buena y barata.
La carne pegada al hueso es la más sabrosa.
La casa ajena es el bocado mas sabroso.
La casada le pide a la viuda.
La cáscara guarda el palo.
"La chancla que yo tiro, no la vuelvo a levantar."
"La cobija y la mujer, suavecitas han de ser."
La cochina más flaca es la que rompe el chiquero.
La coleada tumba al toro.
La comida caliente y la bebida fría.
La comida y la mujer por los ojos han de entrar.
"La confianza dura, hasta que se acaba."
La conversación es el pasto del alma.
"La corona que uno se labra, esa se pone."
La cruz en los pechos y el diablo en los hechos.
La cuenta y los bomberos; pa'que la'paguen.
La culpa no es del gallo sino del amarrador.
La culpa nunca cae al suelo.
"La cuña, para que apriete, ha de ser del mismo palo."
"La cusca regenerada, de cusca no tiene nada."
La dejaron como novia de pueblo; vestida y alborotada.
La desgracia del obrero está en el líder obrero.
La dicha del gallo es que tiene muchas gallinas y a ninguna mantiene.
La discreción del hombre es la madre de la seguridad ...
...y la caballerosidad con la mujer es el éxito.
La educación se mama con la leche.
"La educación se mama, no se adquiere."
"La embriaguez anima, pero no ayuda."
La enfermedad enseña cuanto vale la salud.
"La envidia es serpiente que al que la abriga, lo muerde."
La escoba nueva barre bien.
La esperanza es lo último que muere.
La estatura se mide de la cabeza al cielo.
La experiencia es la madre de la ciencia.
La felicidad y el dinero no se pueden esconder.
La fortuna es loca y dá al primero que toca.
La fortuna que vino despacio no se va deprisa.
La fruta bien vendida o podrida en el huacal.
La fruta de madura se cae.
"La gallina que no come, se come el huevo que pone."
La gente nueva es como la mala cosecha; se pica en la mata.
La gota perfora la roca. (cava la piedra).
"La gratitud es don de perros, el ingrato es menos que un perro."
La gratitud no es a perpetuidad como los sepulcros.
"La hebra de María Moco, que cose un poco y se atora otro poco."
La hebra se revienta por lo mas delgado.
La hogaza no embaraza.
La ignorancia es la madre de la admiración.
La igualdad es el lazo de la amistad.
La independencia es cosa muy apreciable.
La india quiere al arriero cuando es más lépero y fiero.
"La inteligencia tiene un límite, la fealdad, ¡No!."
"La justicia en enero es rigurosa, mas llegando febrero es otra cosa."
La lengua guarda el pescuezo.
La letra con sangre entra.
"La ley de Caifás; Al fregado, fregarlo más."
La ley de Herodes; O te friegas o te jodes.
La ley del talión; ¡cállate grandísimo cabrón!.
La lógica es imprescindible para ganar ...
... todas las discusiones que nos ahorramos.
La mala llaga sana; la mala fama mata.
"La mala noticia viene volando, la buena cojeando."
La mala suerte anda de la mano con los tarugos.
"La mala suerte existe, pero Dios la reparte nada más entre los tarugos."
La mala suerte y los flojos van de la mano.
"La mancha de la pobreza, desde lejos se conoce."
La mancha de la pobreza sólo el dinero la quita.
La mancuerna del tío Librado; tan malo el pinto como el colorado.
La manera de divertirse es el verdadero espejo del alma.
La manzana podrida pudre a su compañera.
La marrana más trompuda se lleva la mejor mazorca.
La más ruin cabra revuelve la manada.
La mejor arma en la vida es el despertador.
La mejor forma de sentir es no darse por sentido.
La mejor medicina es la cocina.
La mejor mula se me está echando.
La mejor salsa es el hambre.
La memoria es el patrimonio de los pendejos.
La memoria es la inteligencia de los pendejos.
"La mentira busca rincón, la verdad la luz del sol."
La mentira dura mientras la verdad no sale.
La miel no se hizo para el hocico de los puercos.
La miel no se hizo para la boca del asno.
"La misa, dígala el cura."
La miseria ahuyenta amigos y el dinero los atrae.
La moda es como te acomoda.
La moderación en la comida es el médico de sí mismo.
"La moneda es el talento, el que la tiene la cambia."
La moneda falsa no puede correr mucho tiempo.
La muerte es flaca y no ha de poder conmigo.
La mujer alta y delgada y la yegua colorada.
La mujer casada en el monte es albergada.
"La mujer, como la escopeta; siempre cargada y en un rincón."
"La mujer criando, ni harta, ni limpia, ni buena cristiana."
La mujer del huitlacoche; que de día pasea y de noche cose.
"La mujer en sus quehaceres, para eso son las mujeres."
"La mujer como la gallina, cuando falta el gallo, a cualquier pollo se arrima."
La mujer es de ideas cortas y de cabellos largos.
"La mujer es mala conductora de la electricidad,"
alumbra después de nueve meses de enchufada.
"La mujer mala o buena, más quiere freno que espuela."
La mujer que es buena plata es que mucho suena.
"La mujer que fue tinaja, se convierte en tapadera."
La mujer que ha de ser de uno solita viene y se encaja.
"La mujer que mucho hila, poco mira."
La mujer que no es tonta sino entendida;...
... siempre tiene dos velas prendidas.
La mujer que quiere a dos no es tonta sino advertida.
La mujer que te quiere no dirá lo que en ti viere.
La mujer y el vidrio siempre están en peligro.
La mujer y la guitarra son de quien las toca.
"La mula es mula y cuando no patea, recula."
La mula no debe ser muy vieja ni la vieja muy mula.
La mula no era arisca; los palos la hicieron.
La necesidad carece de ley.
La necesidad es la madre de los inventos.
La necesidad tiene cara de hereje.
La noche es capa de pecadores.
La novia del estudiante nunca es la esposa del profesionista.
La ocasión hace al ladrón.
La ociosidad (vagancia) es la madre de todos los vicios.
La ociosidad es la madre de una vida padre.
La oración breve sube al cielo.
La paciencia todo lo alcanza.
La paternidad es un acto de fe.
La pereza es la llave de la pobreza.
La pluma es más fuerte que la espada.
La pobreza es escala para el infierno.
"La política es como el sexo, por arriba te besan, por abajo te cogen."
"La política es como la lambada, piensas que te están bailando..."
... cuando en verdad te están cogiendo.
La política es un arte del carajo: hay que darle las nalgas ...
...al de arriba y picarle el culo al de abajo.
La práctica hace al maestro.
La pregunta de los sesenta y cuatro mil pesos.
"La primera con agua, la segunda sin agua y la tercera como agua."
"La primera en la frente, pa'que nos libre de malos pensamientos"
La pujanza y el dinero hace al indio barrigón.
La puta y el fanfarrón tienen poca duración.
La que a su marido quiere servir ni puede ni quiere dormir.
"La que al toser te entienda, tiene buena rienda."
La que casa con el ruin deseará pronto su fin.
La que con muchos se casa a todos enfada.
La que con viejo se casa viejo se la pasa.
La que de amarillo se viste a su hermosura se atiene.
La que de amarillo se viste en la calle la desvisten.
"La que de amarillo se viste en su hermosura confía,..."
... o de sinverguenza se pasa.
La que del baño viene bien sabe lo que quiere.
"La que en amores anduvo, cásese con quien los tuvo."
"La que en marzo veló, tarde acordó."
La que en un corral se cría de un pajoso se enamora.
La que es buena casada a su marido agrada.
"La que ha de ser bien casada, a su costa lo ha de ser."
La que ha de ser mala es mala ...
... y la que buena buena ya sea nuera o suegra.
"La que huye y se espanta del aire, no huirá de un fraile."
"La que lo aliña, ésa lo hila."
"La que luce en la cocina, no luce con su vecina..."
... ni a mala cosa se inclina.
La que luce entre las ollas no luce entre las otras.
"La que mal casa, nunca le falta que diga."
La que mal marido tiene en el tocado se le parece.
"La que mucho hizo, se muere y la que poco, también."
La que mucho visita las santas no tiene tela en las estacas.
"La que nace hermosa, para esposa o mariposa."
La que no baila que se salga de la boda.
La que no es casamentera no goza la fiesta entera.
"La que no enseña no vende y si enseña mucho, se mosquea."
"La que no pone seso a la olla, no lo tiene en la toca."
"La que no pone seso a la olla, no tiene cholla."
La que no se agacha por un alfiler no es mujer.
"La que no tiene doncella, sírvase ella."
La que no tiene suegra ni cuñada ésa es bien casada.
"La que por San Bartolomé no vela, nunca hace buena tela."
"La que pronto empieza, pronto acaba."
"La que queda, hereda."
"La que quiera hacer de la vaca, carnero,..."
...échele a cocer en agua hirviendo.
"La que quiera hacer vaca de la gallina, échele a cocer en agua fría."
"La que quiera hacer mejor pan que su vecina,..."
... amáselo con agua y no con harina.
La que quiere ser buena no se lo quita la vihuela.
"La que se casa con viudo, rival tiene en otro mundo."
"La que se casa, en su casa, la soltera, en dondequiera."
"La que se enseña a beber de tierna, enviará el hilado a la taberna."
La que tiene deseos de ver tiene deseos de ser vista.
La que tiene el marido bueno no tiene seguro el cielo.
"La que tiene marido chico, donde irá, pues todos los males ha."
"La que trasquila y da a hilar, como la que pare y da a criar."
La que urde y trama la tela ella misma la teja
La rana más aplastada es la que más recio grita.
La reata se revienta por lo más delgado.
La regla de oro del poder es que donde está el oro está el poder.
La ropa limpia no necesita jabón.
La ropa sucia se lava en casa.
La salud no tiene precio y el que la arriesga es un necio.
La sangre es el sudor de los héroes.
La sangre llama a la sangre.
La semana que no tenga viernes.
La soledad es muy mala consejera.
La subida más alta es la caída más estruendosa.
"La suegra; ni de dulce, por que empalaga,..."
"...ni de piedra, porque descalabra."
La suerte es de los audaces.
"La suerte de la fea, la bonita la desea."
La suerte no es como la preñez... que dura nueve meses.
"La suerte no nace, se hace."
"La tortilla y la mujer se han de comer en caliente,..."
"...pues si las dejas enfriar, ni el diablo les mete el diente."
La única razón para no triunfar en la vida es... no haber nacido.
La unión hace la fuerza.
La uva no es uva hasta que está madura.
La vela se le enciende al santo que la merece.
La verdad engendra el odio.
La verdad no peca pero incomoda.
La verdad y el aceite siempre flotan.
"La verdad y las rosas, tienen sus espinas."
"La vereda, por donde se pueda."
La vergüenza en la mujer se conoce en el vestido.
La vergüenza pasa y la conveniencia se queda en casa.
La vergüenza y la doncellez se pierden solo una vez.
La ves reparar y le avientas el sombrero.
La vida es corta y hay que gozarla.
"La vida es un camote y el que no la traga, se'oga."
La vida es una enfermedad de transmisión sexual.
"La vida me quitarán, pero la querencia ¿cuándo?"
"La vida no consiste en vivir, sino en tener salud."
La vida no retoña.
La vida que guarda Dios no hay dolencia que la quite.
"La Virgen lavaba, San José tendía."
La voz del pueblo es la voz de Dios.
La voz del pueblo es la voz del diablo.
"La yegua debe tener: barriga de doncella,..."
...pechos de casada y ancas de viuda.
La yunta del Tío Jaramillo: tan malo el pinto como el amarillo.
La zorra adormecida no come gallina.
